"Statistics name :","2020-Base Consumer Price Index"
"Table Number :","1"
"Title :","2020-Base Consumer Price Index"
"Implementation date :","-","-"
"Cities, Towns and Villages :","-"

"***","Figure is not available."

"","","","","","","","","","/Tabulated variable Code","1","2"
"","","","","","","","","","/Tabulated variable Auxiliary Code","-","-"
"Area(2020-base) Code","Area(2020-base) Auxiliary Code","Area(2020-base)","Time Code","Time Auxiliary Code","Time","Items(2020-base) Code","Items(2020-base) Auxiliary Code","Items(2020-base)","/Tabulated variable","Index","Change from the previous period (year, fiscal year, or month)[%]"
"13A01","","Ku-area of Tokyo","2023000000","","2023","0010","","Salted & dried fish","","123.1","14.0"
"13A01","","Ku-area of Tokyo","2023000000","","2023","1141","","Salted salmon","","128.7","12.5"
"13A01","","Ku-area of Tokyo","2023000000","","2023","1142","","Salted cod roe","","121.8","13.4"
"13A01","","Ku-area of Tokyo","2023000000","","2023","1143","","""Shirasu-boshi"", dried young sardines","","120.9","24.2"
"13A01","","Ku-area of Tokyo","2023000000","","2023","1144","","Dried horse mackerel","","119.4","13.6"
"13A01","","Ku-area of Tokyo","2023000000","","2023","1146","","""Niboshi"", dried small sardines","","115.7","13.5"
"13A01","","Ku-area of Tokyo","2023000000","","2023","1150","","Capelin","","115.6","6.5"
"13A01","","Ku-area of Tokyo","2023000000","","2023","1167","","Salmon roe","","129.1","2.2"
"13A01","","Ku-area of Tokyo","2023000000","","2023","0011","","Fish-paste products","","124.3","14.1"
"13A01","","Ku-area of Tokyo","2023000000","","2023","1151","","""Agekamaboko"", fried fish-paste patties","","127.7","15.1"
"13A01","","Ku-area of Tokyo","2023000000","","2023","1152","","""Chikuwa"", baked fish-paste bars","","119.3","12.5"
"13A01","","Ku-area of Tokyo","2023000000","","2023","1153","","""Kamaboko"", steamed fish-paste cakes","","124.2","14.0"
"13A01","","Ku-area of Tokyo","2023000000","","2023","0012","","Other processed fish & seafood","","127.3","19.7"
"13A01","","Ku-area of Tokyo","2023000000","","2023","1161","","Dried bonito fillets","","125","28.2"
"13A01","","Ku-area of Tokyo","2023000000","","2023","1165","","Pickled fish","","138.8","21.2"
"13A01","","Ku-area of Tokyo","2023000000","","2023","1166","","Fish prepared in soy sauce","","108.5","6.5"
"13A01","","Ku-area of Tokyo","2023000000","","2023","1173","","Canned fish","","120.8","19.6"
"13A01","","Ku-area of Tokyo","2022000000","","2022","0008","","Fish & seafood","","114","12.1"
"13A01","","Ku-area of Tokyo","2022000000","","2022","0009","","Fresh fish & seafood","","118.5","15.8"
"13A01","","Ku-area of Tokyo","2022000000","","2022","1101","","Tuna fish","","124.8","18.9"
"13A01","","Ku-area of Tokyo","2022000000","","2022","1102","","Horse mackerel","","105.1","14.8"
"13A01","","Ku-area of Tokyo","2022000000","","2022","1103","","Sardines","","112","6.4"
"13A01","","Ku-area of Tokyo","2022000000","","2022","1104","","Bonito","","108.9","12.1"
"13A01","","Ku-area of Tokyo","2022000000","","2022","1106","","Salmon","","117","17.8"
"13A01","","Ku-area of Tokyo","2022000000","","2022","1107","","Mackerel","","109.4","8.5"
"13A01","","Ku-area of Tokyo","2022000000","","2022","1108","","Saury","","120.5","4.5"
"13A01","","Ku-area of Tokyo","2022000000","","2022","1110","","Sea bream","","106.3","9.3"
"13A01","","Ku-area of Tokyo","2022000000","","2022","1111","","Yellowtail","","131.1","25.3"
"13A01","","Ku-area of Tokyo","2022000000","","2022","1112","","Cuttlefish","","115.1","10.6"
"13A01","","Ku-area of Tokyo","2022000000","","2022","1113","","Octopus","","126.6","15.1"
"13A01","","Ku-area of Tokyo","2022000000","","2022","1114","","Prawns","","101.3","4.9"
"13A01","","Ku-area of Tokyo","2022000000","","2022","1131","","Short-necked clams","","135","26.9"
"13A01","","Ku-area of Tokyo","2022000000","","2022","1132","","Oysters","","108.2","9.0"
"13A01","","Ku-area of Tokyo","2022000000","","2022","1133","","Scallops","","114.4","10.3"
"13A01","","Ku-area of Tokyo","2022000000","","2022","0010","","Salted & dried fish","","108","6.1"
"13A01","","Ku-area of Tokyo","2022000000","","2022","1141","","Salted salmon","","114.4","12.9"
"13A01","","Ku-area of Tokyo","2022000000","","2022","1142","","Salted cod roe","","107.4","7.4"
"13A01","","Ku-area of Tokyo","2022000000","","2022","1143","","""Shirasu-boshi"", dried young sardines","","97.4","-0.5"
"13A01","","Ku-area of Tokyo","2022000000","","2022","1144","","Dried horse mackerel","","105.1","-0.9"
"13A01","","Ku-area of Tokyo","2022000000","","2022","1146","","""Niboshi"", dried small sardines","","101.9","0.7"
"13A01","","Ku-area of Tokyo","2022000000","","2022","1150","","Capelin","","108.5","0.0"
"13A01","","Ku-area of Tokyo","2022000000","","2022","1167","","Salmon roe","","126.4","14.1"
"13A01","","Ku-area of Tokyo","2022000000","","2022","0011","","Fish-paste products","","109","8.7"
"13A01","","Ku-area of Tokyo","2022000000","","2022","1151","","""Agekamaboko"", fried fish-paste patties","","110.9","9.6"
"13A01","","Ku-area of Tokyo","2022000000","","2022","1152","","""Chikuwa"", baked fish-paste bars","","106","5.9"
"13A01","","Ku-area of Tokyo","2022000000","","2022","1153","","""Kamaboko"", steamed fish-paste cakes","","108.9","9.4"
"13A01","","Ku-area of Tokyo","2022000000","","2022","0012","","Other processed fish & seafood","","106.3","6.8"
"13A01","","Ku-area of Tokyo","2022000000","","2022","1161","","Dried bonito fillets","","97.6","-3.4"
"13A01","","Ku-area of Tokyo","2022000000","","2022","1165","","Pickled fish","","114.5","14.2"
"13A01","","Ku-area of Tokyo","2022000000","","2022","1166","","Fish prepared in soy sauce","","101.9","2.4"
"13A01","","Ku-area of Tokyo","2022000000","","2022","1173","","Canned fish","","101","2.8"
"13A01","","Ku-area of Tokyo","2021000000","","2021","0008","","Fish & seafood","","101.6","1.6"
"13A01","","Ku-area of Tokyo","2021000000","","2021","0009","","Fresh fish & seafood","","102.3","2.3"
"13A01","","Ku-area of Tokyo","2021000000","","2021","1101","","Tuna fish","","105","5.0"
"13A01","","Ku-area of Tokyo","2021000000","","2021","1102","","Horse mackerel","","91.5","-8.5"
"13A01","","Ku-area of Tokyo","2021000000","","2021","1103","","Sardines","","105.3","5.3"
"13A01","","Ku-area of Tokyo","2021000000","","2021","1104","","Bonito","","97.1","-2.9"
"13A01","","Ku-area of Tokyo","2021000000","","2021","1106","","Salmon","","99.3","-0.7"
"13A01","","Ku-area of Tokyo","2021000000","","2021","1107","","Mackerel","","100.9","0.9"
"13A01","","Ku-area of Tokyo","2021000000","","2021","1108","","Saury","","115.3","15.3"
"13A01","","Ku-area of Tokyo","2021000000","","2021","1110","","Sea bream","","97.3","-2.7"
"13A01","","Ku-area of Tokyo","2021000000","","2021","1111","","Yellowtail","","104.6","4.6"
"13A01","","Ku-area of Tokyo","2021000000","","2021","1112","","Cuttlefish","","104.1","4.1"
"13A01","","Ku-area of Tokyo","2021000000","","2021","1113","","Octopus","","110","10.0"
"13A01","","Ku-area of Tokyo","2021000000","","2021","1114","","Prawns","","96.5","-3.5"
"13A01","","Ku-area of Tokyo","2021000000","","2021","1131","","Short-necked clams","","106.4","6.4"
